213 7B4 7AF 7EE 5 1 D 6 7FE 7FE 7F3 7FC 1 7FF 3 7FE 
1F9 794 7A1 7F5 16 12 14 4 7F7 7F8 7F5 2 6 0 2 7FE 
1F7 792 7A0 7F7 1C 18 16 0 7F1 7F4 7F6 6 9 0 0 7FC 
1F4 78E 7A2 7FA 1B 15 12 3 7F8 7FB 7F8 6 8 2 1 7FD 
205 7A2 7AB 7F6 11 B 11 6 7FE 0 7F9 1 3 7FE 1 7FD 
220 7C1 7BC 7F8 B 5 C 3 7FE 0 7FA 7FE 7FD 7FB 7FF 7FF 
239 7D7 7C4 7F7 7 3 C 7FE 7FC 2 7FF 5 7FD 7FC 7FF 1 
245 7E7 7CF 7F8 1 7FF C 0 7FE 3 7FF 5 7FE 7FC 7FF 1 
249 7EC 7D8 7FE 0 7FD A 7FF 7FF 5 7FF 5 7FD 7FD 0 2 
243 7E6 7DE 6 4 7FD 9 7FD 7FE 5 7FF 3 7FC 7FB 0 0 
243 7E5 7E1 B 9 1 A 7FA 7FC 2 7FD 2 7FB 7FB 7FE 1 
239 7EA 7ED 13 4 7FA A 7FC 7FC 4 7FF 0 7FE 7FE 1 7FF 
230 7EE 7F7 13 7FF 7F6 9 7FD 7FD 6 1 7FE 7FF 0 2 7FF 
22A 7F2 7FF C 7FE 7FB 6 7FE 7FD 4 1 0 7FF 7FF 1 7FF 
225 7FA 8 4 7FC 7FE 4 7FE 7FD 1 0 0 7FF 0 0 0 
223 7FD B 0 7FC 0 2 7FC 7FF 0 7FF 0 0 7FF 0 0 
210 3 2 2 1 2 1 1 0 7FF 0 0 7FF 7FF 0 7FF 
210 4 2 2 2 1 1 2 0 0 0 0 0 7FF 0 7FF 
211 3 1 1 2 2 1 0 0 0 0 0 7FF 7FF 0 7FF 
211 3 3 3 1 1 2 1 1 7FF 0 7FF 0 7FF 7FF 7FF 
211 3 2 3 2 2 0 1 0 0 0 7FF 7FF 7FF 0 0 
212 4 4 2 0 2 1 1 0 1 0 0 7FF 0 7FF 0 
213 4 3 4 2 3 1 2 2 1 1 1 1 1 7FF 0 
213 4 4 4 2 2 2 2 1 1 1 2 0 0 0 0 
213 4 5 5 2 2 2 2 2 1 1 1 1 0 1 0 
214 4 4 5 3 2 2 2 3 1 1 2 1 1 0 7FF 
214 5 4 5 3 2 1 4 2 2 1 1 0 1 0 0 
213 9 5 4 3 2 2 1 1 7FF 0 7FF 7FE 7FF 7FF 0 
213 B 4 5 3 2 2 1 7FF 7FF 7FE 7FE 7FE 7FE 7FE 7FF 
215 A 4 4 4 2 1 1 2 7FE 7FF 7FE 7FE 7FF 7FE 7FF 
215 8 4 5 3 2 2 1 1 7FF 7FF 7FF 7FE 7FE 7FE 7FF 
215 8 5 4 3 2 0 1 1 7FF 7FF 7FE 7FE 7FE 7FE 7FF 
1FF 7 7FF 0 0 7FF 0 0 0 0 0 7FF 7FF 0 7FF 0 
1FF 7 7FF 7FF 0 7FF 0 0 1 7FF 0 7FF 7FF 0 0 7FF 
1FF 8 7FF 0 0 7FF 0 0 0 7FF 0 0 7FF 0 1 0 
200 7 0 0 1 7FF 0 0 0 0 7FF 0 0 0 0 7FF 
200 8 7FF 0 1 7FF 0 7FF 7FF 7FF 7FF 7FF 0 0 0 0 
200 8 0 7FF 1 7FF 7FF 0 7FF 7FF 0 7FF 7FF 1 7FF 0 
200 7 7FF 1 1 0 7FF 7FF 0 7FF 7FF 0 7FF 0 7FF 0 
201 7 7FF 0 2 0 7FF 7FF 0 7FF 0 7FF 0 1 7FF 0 
201 7 7FF 1 2 0 7FF 7FF 0 7FF 7FF 0 0 1 0 7FF 
201 8 7FF 1 2 0 7FF 7FF 7FF 7FF 7FF 7FF 7FF 0 7FF 0 
201 8 0 1 1 0 0 7FE 7FF 7FE 7FF 7FF 0 0 0 7FF 
201 5 7FE 7FF 7FF 7FF 0 0 0 7FF 7FF 7FF 0 0 7FF 0 
201 5 7FE 7FF 7FE 7FF 7FF 7FF 0 0 0 7FF 0 0 7FF 7FF 
203 6 7FF 7FF 7FF 7FF 1 7FF 1 7FF 7FE 0 0 7FF 7FF 0 
203 6 7FF 0 7FF 7FF 7FF 0 0 7FF 0 7FF 0 7FF 7FF 7FF 
203 7 0 0 7FE 7FF 0 0 7FF 0 0 7FF 0 0 0 0 
1EB 6 7FE 0 7FF 0 1 0 7FF 7FF 7FF 7FF 0 7FF 7FF 7FF 
1EA 6 7FE 1 0 0 7FF 0 7FF 0 0 7FF 7FF 0 7FF 0 
1EB 6 7FE 0 0 0 0 7FF 0 7FF 7FF 7FF 7FF 7FF 0 7FF 
1EB 7 7FD 0 7FF 0 0 0 0 7FF 7FF 7FF 7FF 0 0 7FF 
1EC 6 7FD 1 0 7FF 0 7FF 0 7FF 7FF 0 0 0 7FF 0 
1EB 6 7FE 0 7FF 7FF 1 0 7FF 0 7FF 7FF 7FF 0 7FF 0 
1EB 5 0 1 0 0 0 7FF 1 0 1 7FF 0 7FF 7FF 7FF 
1EC 7 0 0 0 0 7FF 0 0 7FF 7FF 0 7FF 0 0 7FE 
1ED 6 7FE 0 7FF 7FF 7FE 7FF 0 0 0 0 7FF 0 7FF 0 
1EE 7 7FE 0 7FF 0 0 7FF 1 7FF 7FF 7FF 7FF 7FF 0 0 
1EF 6 7FD 7FF 0 0 0 0 1 7FE 0 0 0 0 0 7FF 
1EC 8 7FE 0 0 7FF 0 7FF 0 0 7FF 0 0 0 0 7FF 
1EB 9 7FF 0 7FF 0 0 0 0 0 0 0 0 0 0 0 
1EA 8 7FF 1 7FF 7FF 0 7FF 0 0 7FF 0 7FF 0 7FF 7FF 
1EB 8 7FF 0 7FF 0 0 7FF 0 7FF 0 0 0 0 1 7FF 
1EB 8 0 1 7FF 0 0 7FF 0 7FF 0 7FF 0 7FF 7FF 7FF 
1D7 3 7FD 0 1 0 7FF 7FF 7FF 0 0 0 1 7FF 0 7FF 
1D7 3 7FD 0 0 0 7FF 7FF 7FF 7FF 7FF 0 0 0 7FF 0 
